alpha.air_average,Points:0,Points:1,Points:2
0.532678,0.28,0.3,0
0.522248,0,0.31,0
0.528607,0.01,0.31,0
0.549945,0.02,0.31,0
0.578799,0.03,0.31,0
0.605266,0.04,0.31,0
0.632048,0.05,0.31,0
0.659618,0.06,0.31,0
0.674971,0.07,0.31,0
0.677593,0.08,0.31,0
0.684035,0.09,0.31,0
0.693611,0.1,0.31,0
0.699934,0.11,0.31,0
0.699814,0.12,0.31,0
0.692791,0.13,0.31,0
0.691274,0.14,0.31,0
0.696491,0.15,0.31,0
0.701018,0.16,0.31,0
0.700888,0.17,0.31,0
0.693504,0.18,0.31,0
0.681219,0.19,0.31,0
0.662112,0.2,0.31,0
0.641423,0.21,0.31,0
0.619449,0.22,0.31,0
0.599411,0.23,0.31,0
0.583233,0.24,0.31,0
0.565656,0.25,0.31,0
0.554872,0.26,0.31,0
0.548535,0.27,0.31,0
0.544754,0.28,0.31,0
0.533468,0,0.32,0
0.533491,0.01,0.32,0
0.547797,0.02,0.32,0
0.575582,0.03,0.32,0
0.6034,0.04,0.32,0
