alpha.air_average,Points:0,Points:1,Points:2
0.656354,0.24,0.23,0
0.593984,0.25,0.23,0
0.560555,0.26,0.23,0
0.545171,0.27,0.23,0
0.537147,0.28,0.23,0
0.52163,0,0.24,0
0.534895,0.01,0.24,0
0.561864,0.02,0.24,0
0.602088,0.03,0.24,0
0.642181,0.04,0.24,0
0.673215,0.05,0.24,0
0.701023,0.06,0.24,0
0.722451,0.07,0.24,0
0.731522,0.08,0.24,0
0.714298,0.09,0.24,0
0.691263,0.1,0.24,0
0.685464,0.11,0.24,0
0.690957,0.12,0.24,0
0.69407,0.13,0.24,0
0.691806,0.14,0.24,0
0.69555,0.15,0.24,0
0.714076,0.16,0.24,0
0.737594,0.17,0.24,0
0.758535,0.18,0.24,0
0.775026,0.19,0.24,0
0.780238,0.2,0.24,0
0.774181,0.21,0.24,0
0.755407,0.22,0.24,0
0.713691,0.23,0.24,0
0.650938,0.24,0.24,0
0.596986,0.25,0.24,0
0.56767,0.26,0.24,0
0.54723,0.27,0.24,0
0.536888,0.28,0.24,0
0.518653,0,0.25,0
0.528598,0.01,0.25,0
0.553051,0.02,0.25,0
0.592638,0.03,0.25,0
0.631472,0.04,0.25,0
0.661095,0.05,0.25,0
0.687189,0.06,0.25,0
0.70685,0.07,0.25,0
0.715284,0.08,0.25,0
0.699358,0.09,0.25,0
0.682257,0.1,0.25,0
0.686084,0.11,0.25,0
0.694343,0.12,0.25,0
0.692217,0.13,0.25,0
0.684822,0.14,0.25,0
0.689199,0.15,0.25,0
0.709334,0.16,0.25,0
0.732975,0.17,0.25,0
0.753316,0.18,0.25,0
0.769412,0.19,0.25,0
0.775395,0.2,0.25,0
0.769247,0.21,0.25,0
0.747699,0.22,0.25,0
0.706557,0.23,0.25,0
0.648223,0.24,0.25,0
0.6035,0.25,0.25,0
0.575842,0.26,0.25,0
0.547104,0.27,0.25,0
0.534567,0.28,0.25,0
0.516631,0,0.26,0
0.524074,0.01,0.26,0
0.546118,0.02,0.26,0
0.58229,0.03,0.26,0
0.61978,0.04,0.26,0
0.648878,0.05,0.26,0
0.671437,0.06,0.26,0
0.689805,0.07,0.26,0
0.697355,0.08,0.26,0
0.685485,0.09,0.26,0
0.676404,0.1,0.26,0
0.685989,0.11,0.26,0
0.697329,0.12,0.26,0
0.69605,0.13,0.26,0
0.689732,0.14,0.26,0
0.695325,0.15,0.26,0
0.713716,0.16,0.26,0
0.734263,0.17,0.26,0
0.751229,0.18,0.26,0
0.7646,0.19,0.26,0
0.770255,0.2,0.26,0
0.763295,0.21,0.26,0
0.739384,0.22,0.26,0
0.700394,0.23,0.26,0
0.648661,0.24,0.26,0
0.607456,0.25,0.26,0
0.576535,0.26,0.26,0
0.544404,0.27,0.26,0
0.532111,0.28,0.26,0
0.516554,0,0.27,0
0.521248,0.01,0.27,0
0.53875,0.02,0.27,0
0.572213,0.03,0.27,0
0.61178,0.04,0.27,0
0.641594,0.05,0.27,0
0.661313,0.06,0.27,0
0.678814,0.07,0.27,0
0.686985,0.08,0.27,0
0.679675,0.09,0.27,0
0.675454,0.1,0.27,0
0.685032,0.11,0.27,0
0.695861,0.12,0.27,0
0.697467,0.13,0.27,0
0.69789,0.14,0.27,0
0.706467,0.15,0.27,0
0.717697,0.16,0.27,0
0.730979,0.17,0.27,0
0.745093,0.18,0.27,0
0.756344,0.19,0.27,0
0.760898,0.2,0.27,0
0.753831,0.21,0.27,0
0.731885,0.22,0.27,0
0.694583,0.23,0.27,0
0.647625,0.24,0.27,0
0.60473,0.25,0.27,0
0.570558,0.26,0.27,0
0.542229,0.27,0.27,0
0.530283,0.28,0.27,0
0.518999,0,0.28,0
0.521671,0.01,0.28,0
0.533552,0.02,0.28,0
0.562094,0.03,0.28,0
0.605267,0.04,0.28,0
0.638736,0.05,0.28,0
0.658495,0.06,0.28,0
0.676847,0.07,0.28,0
0.684986,0.08,0.28,0
0.68146,0.09,0.28,0
0.68122,0.1,0.28,0
0.688334,0.11,0.28,0
0.694673,0.12,0.28,0
0.695461,0.13,0.28,0
0.698878,0.14,0.28,0
0.707117,0.15,0.28,0
0.710843,0.16,0.28,0
0.717253,0.17,0.28,0
0.72893,0.18,0.28,0
0.739925,0.19,0.28,0
0.745146,0.2,0.28,0
0.739508,0.21,0.28,0
0.72267,0.22,0.28,0
0.689058,0.23,0.28,0
0.643985,0.24,0.28,0
0.600712,0.25,0.28,0
0.56856,0.26,0.28,0
0.544507,0.27,0.28,0
0.531952,0.28,0.28,0
0.524725,0,0.29,0
0.527969,0.01,0.29,0
0.538275,0.02,0.29,0
0.559215,0.03,0.29,0
0.599338,0.04,0.29,0
0.636467,0.05,0.29,0
0.659189,0.06,0.29,0
0.67933,0.07,0.29,0
0.687291,0.08,0.29,0
0.686148,0.09,0.29,0
0.689827,0.1,0.29,0
0.698408,0.11,0.29,0
0.703345,0.12,0.29,0
0.70034,0.13,0.29,0
0.698244,0.14,0.29,0
0.700303,0.15,0.29,0
0.699723,0.16,0.29,0
0.702461,0.17,0.29,0
0.711094,0.18,0.29,0
0.721081,0.19,0.29,0
0.727205,0.2,0.29,0
0.724111,0.21,0.29,0
0.711374,0.22,0.29,0
0.682251,0.23,0.29,0
0.640747,0.24,0.29,0
0.599516,0.25,0.29,0
0.56831,0.26,0.29,0
0.545493,0.27,0.29,0
0.53354,0.28,0.29,0
0.527668,0,0.3,0
0.533647,0.01,0.3,0
0.547354,0.02,0.3,0
0.5654,0.03,0.3,0
0.597672,0.04,0.3,0
0.633927,0.05,0.3,0
0.660697,0.06,0.3,0
0.682819,0.07,0.3,0
0.693223,0.08,0.3,0
0.694812,0.09,0.3,0
0.70135,0.1,0.3,0
0.71093,0.11,0.3,0
0.712686,0.12,0.3,0
0.706288,0.13,0.3,0
0.701205,0.14,0.3,0
0.698622,0.15,0.3,0
0.695008,0.16,0.3,0
0.693437,0.17,0.3,0
0.697381,0.18,0.3,0
0.706782,0.19,0.3,0
0.714753,0.2,0.3,0
0.714085,0.21,0.3,0
0.700819,0.22,0.3,0
0.673561,0.23,0.3,0
0.639185,0.24,0.3,0
0.599105,0.25,0.3,0
0.56483,0.26,0.3,0
0.541821,0.27,0.3,0
0.530477,0.28,0.3,0
0.524966,0,0.31,0
0.533768,0.01,0.31,0
0.552988,0.02,0.31,0
0.574138,0.03,0.31,0
0.600914,0.04,0.31,0
0.632286,0.05,0.31,0
0.660978,0.06,0.31,0
0.684703,0.07,0.31,0
0.698047,0.08,0.31,0
0.703092,0.09,0.31,0
0.71267,0.1,0.31,0
0.719784,0.11,0.31,0
0.712978,0.12,0.31,0
0.703799,0.13,0.31,0
0.702209,0.14,0.31,0
0.702179,0.15,0.31,0
0.697582,0.16,0.31,0
0.690082,0.17,0.31,0
0.687224,0.18,0.31,0
0.696528,0.19,0.31,0
0.709399,0.2,0.31,0
0.710244,0.21,0.31,0
0.692285,0.22,0.31,0
0.66697,0.23,0.31,0
0.638481,0.24,0.31,0
0.59691,0.25,0.31,0
0.559896,0.26,0.31,0
0.535788,0.27,0.31,0
0.524274,0.28,0.31,0
0.523621,0,0.32,0
0.533453,0.01,0.32,0
0.555593,0.02,0.32,0
0.578024,0.03,0.32,0
0.602,0.04,0.32,0
0.629549,0.05,0.32,0
